"state3","sctr","povert"
"ANI","Rural",0.0156839968252849
"ANI","Urban",0
"ANP","Rural",0.109566683946776
"ANP","Urban",0.0580523412330906
"ARP","Rural",0.390252057712812
"ARP","Urban",0.203310821389309
"ASM","Rural",0.338871749487295
"ASM","Urban",0.205776315765159
"BIH","Rural",0.343590196883496
"BIH","Urban",0.312321708288657
"CHN","Rural",0.0163584837930014
"CHN","Urban",0.223106114331637
"CHT","Rural",0.44605129117983
"CHT","Urban",0.239473558276116
"DAD","Rural",0
"DAD","Urban",0.126217447721694
"DEL","Rural",0.129188195856831
"DEL","Urban",0.0984044427341278
"DNH","Rural",0.625894687483024
"DNH","Urban",0.153772805622933
"GOA","Rural",0.0680885803314966
"GOA","Urban",0.0409203410705562
"GUJ","Rural",0.215426050850142
"GUJ","Urban",0.102180956948107
"HAR","Rural",0.116363126629916
"HAR","Urban",0.102797382834224
"HMP","Rural",0.0847724962913844
"HMP","Urban",0.0432635641627934
"JAK","Rural",0.11541217425782
"JAK","Urban",0.0719679736188852
"JHK","Rural",0.407690252138285
"JHK","Urban",0.248257932933563
"KAR","Rural",0.24530916676703
"KAR","Urban",0.152856005091679
"KER","Rural",0.0918833436867794
"KER","Urban",0.0497496980411649
"LKP","Rural",0
"LKP","Urban",0.0807352188045346
"MAP","Rural",0.357413511421451
"MAP","Urban",0.210029854398065
"MEG","Rural",0.125253559114842
"MEG","Urban",0.0926244083846817
"MHR","Rural",0.242243632775993
"MHR","Urban",0.091218150716458
"MIZ","Rural",0.354311163088926
"MIZ","Urban",0.0636188679741801
"MNP","Rural",0.388038133428896
"MNP","Urban",0.323882058254776
"NGL","Rural",0.199262785714679
"NGL","Urban",0.164849255099585
"ODI","Rural",0.356925804755717
"ODI","Urban",0.172887412788422
"PON","Rural",0.170615560161635
"PON","Urban",0.0630476694194122
"PUN","Rural",0.0765598154222422
"PUN","Urban",0.0924243431211041
"RAJ","Rural",0.160523071825688
"RAJ","Urban",0.106874574382872
"SIK","Rural",0.0985186190793023
"SIK","Urban",0.0366454984153094
"TML","Rural",0.158275994752405
"TML","Urban",0.0659077472874117
"TRP","Rural",0.162401405222994
"TRP","Urban",0.0741753633333119
"UTP","Rural",0.303991411130834
"UTP","Urban",0.261698101441539
"UTT","Rural",0.116957940023578
"UTT","Urban",0.104770579595364
"WEB","Rural",0.225180483180162
"WEB","Urban",0.146573701543845
